Year,DOY,wppd.pd,wppd.pdse,wppd.md,wppd.mdse,wppnd.pd,wppnd.pdse,wppnd.md,wppnd.mdse,wpq.pd,wpq.pdse,wpq.md,wpq.mdse,klmmolpd,klpdmmol.se,klmmolpnd,klmmolpnd.se,klmmolq,klmmolq.se
2010,152,-0.883333333,0.060092521,-1.766666667,0.158989867,-0.5875,0.042695628,-1.475,0.062915287,-0.9625,0.068844632,-1.75,0.08660254,2.491230071,0.752306825,0.842244313,0.102640965,0.441678053,0.023917928
2010,190,-1.2,0.040824829,-1.95,0.095742711,-1.15,0.1040833,-1.825,0.103077641,-1.525,0.085391256,-2.35,0.028867513,1.733202513,0.434494744,0.925142947,0.212231372,0.385282957,0.099761067
2010,211,-1.55,0.064549722,-2.025,0.085391256,-1.225,0.075,-2.25,0.020412415,-1.55,0.21015867,-2.45,0.1040833,0.232626229,0.03021428,0.138316009,0.029380647,0.090630908,0.023213231
2010,253,-1.675,0.149303941,-1.85,0.064549722,-1.45,0.155456318,-1.8,0.040824829,-1.9,0.187082869,-3,0.294392029,0.228704544,0.092338759,0.229200921,0.145233886,0.058753898,0.032597616
2010,296,-0.925,0.075,-1.475,0.103077641,-0.8,0.070710678,-1.25,0.132287566,-1.025,0.062915287,-1.75,0.184842275,0.367319817,0.039365043,0.180125173,0.052592054,0.068671092,0.022981187
2011,171,-1.1375,0.0625,-1.8,0.04472136,-1.0125,0.031457643,-1.675,0.075,-1.4,0.05,-2.2,0.1,1.287958473,0.266134926,0.620767245,0.092196061,0.196262844,0.045937857
2011,207,-1.6375,0.059072695,-1.96,0.06595453,-1.6125,0.055433895,-1.7875,0.05153882,-1.816666667,0.384418753,-2.8,0.125830574,0.089508368,0.004562986,0.107299946,0.033969244,0.030164512,0.025355226
2011,226,-1.9125,0.05153882,-2.12,0.078421936,-1.8,0.057735027,-1.925,0.025,-2.866666667,0.133333333,-3.333333333,0.130170828,0.549503609,0.257220096,0.089468374,0.033471064,0.104981321,0.079900702
2011,285,-2.1625,0.055433895,-2.47,0.048989795,-2.2,0.035355339,-2.5,0.12416387,-5,0.057735027,-5.433333333,0.284800125,0.219921037,0.039340378,0.098406945,0.046748355,0.042263993,0.014077478
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Year,,,,,,,,,,,,,,,,,,,
DOY,,,,,,,,,,,,,,,,,,,
wppd.pd,average def pine predawn,,,Mpa,,,,,,,,,,,,,,,
wppd.pdse,se def pine predawn,,,Mpa,,,,,,,,,,,,,,,
wppd.md,average def pine midday,,,Mpa,,,,,,,,,,,,,,,
wppd.mdse,se def pine midday,,,Mpa,,,,,,,,,,,,,,,
wppnd.pd,average non-def pine predawn,,,Mpa,,,,,,,,,,,,,,,
wppnd.pdse,se non-def pine predawn,,,Mpa,,,,,,,,,,,,,,,
wppnd.md,average non-def pine midday,,,Mpa,,,,,,,,,,,,,,,
wppnd.mdse,se non-def pine midday,,,Mpa,,,,,,,,,,,,,,,
wpq.pd,average holm oak predawn,,,Mpa,,,,,,,,,,,,,,,
wpq.pdse,se holm oak predawn,,,Mpa,,,,,,,,,,,,,,,
wpq.md,average holm oak midday,,,Mpa,,,,,,,,,,,,,,,
wpq.mdse,se holm oak midday,,,Mpa,,,,,,,,,,,,,,,
klmmolpd,kl def pine,,,mmols m-2 s-1 Ma-1,,,,,,,,,,,,,,,
klpdmmol.se,se,,,mmols m-2 s-1 Ma-1,,,,,,,,,,,,,,,
klmmolpnd,kl non-def pine,,,mmols m-2 s-1 Ma-1,,,,,,,,,,,,,,,
klmmolpnd.se,se,,,mmols m-2 s-1 Ma-1,,,,,,,,,,,,,,,
klmmolq,kl holm oak,,,mmols m-2 s-1 Ma-1,,,,,,,,,,,,,,,
klmmolq.se,se,,,mmols m-2 s-1 Ma-1,,,,,,,,,,,,,,,
