"doy","evi","ndvi","rely","blue"
13,0.2123,0.69,0,0.0148
16,0.1894,0.8139,0,0.011
25,0.1273,0.8422,0,0.0054
32,0.1778,0.773,0,0.0164
36,0.1283,0.7293,0,0.0099
55,0.223,0.7414,0,0.0158
56,0.3101,0.6595,0,0.0166
60,0.271,0.73,0,0.0174
77,0.2391,0.6942,0,0.0193
78,0.2695,0.731,0,0.0138
96,0.2182,0.722,0,0.0103
98,0.226,0.7543,0,0.015
98,0.2507,0.7586,0,0.0141
108,0.3392,0.6583,0,0.0224
116,0.3022,0.7252,0,0.0199
130,0.2781,0.7542,0,0.0128
135,0.3693,0.7313,0,0.0191
145,0.4475,0.7752,1,0.0184
152,0.4507,0.7507,0,0.0205
166,0.3542,0.86,1,0.0083
173,0.4253,0.7565,0,0.0211
178,0.4026,0.8121,0,0.0126
180,0.3653,0.7343,0,0.0183
194,0.3211,0.7757,0,0.0135
199,0.3989,0.7613,0,0.0191
201,0.3626,0.8013,0,0.0133
221,0.3485,0.6955,0,0.0191
228,0.3221,0.7207,0,0.0165
231,0.3451,0.6989,0,0.0213
233,0.3256,0.7221,0,0.0162
251,0.2741,0.7529,0,0.0155
258,0.2394,0.7245,0,0.0133
263,0.292,0.73,0,0.0163
274,0.2382,0.7615,0,0.0132
279,0.2783,0.7127,0,0.0142
281,0.2531,0.7389,0,0.0111
298,0.3297,0.7033,1,0.0242
304,0.291,0.5236,3,0.111
313,0.1202,0.8352,0,0.0068
320,0.1734,0.7637,0,0.0238
335,0.2305,0.6507,0,0.0114
341,0.1368,0.7619,0,0.0091
342,0.1171,0.6584,0,0.0153
357,0.1624,0.788,0,0.0146
363,0.0859,0.6314,0,0.0107
